bioguide_id,full_name,communication_count,attack_personal,outcome_bipartisanship,attack_personal_pct,outcome_bipartisanship_pct,attack_personal_norm,outcome_bipartisanship_norm,attack_personal_pct_norm,outcome_bipartisanship_pct_norm
D000617,Suzan DelBene,218.0,9.0,12.0,4.128440366972478,5.5045871559633035,40.831611500213924,31.23040338222601,54.1074668500966,36.77420232642794
D000618,Steve Daines,342.0,1.0,19.0,0.29239766081871343,5.555555555555555,29.88410532808442,44.356548298261735,19.33668066641295,37.236819500991885
D000622,Tammy Duckworth,357.0,102.0,31.0,28.57142857142857,8.683473389355742,99.93304608335158,67.49409087242452,99.99999998258706,66.50610971644976
D000623,Mark DeSaulnier,299.0,9.0,8.0,3.0100334448160537,2.6755852842809364,40.831611500213924,24.577639682883927,42.8857164863482,15.436555620029813
D000624,Debbie Dingell,470.0,7.0,46.0,1.4893617021276597,9.787234042553191,37.98620191116468,88.45443895309816,28.66178623582116,75.54191613570411
D000626,Warren Davidson,603.0,24.0,17.0,3.9800995024875623,2.8192371475953566,62.65974824425833,40.47035170337271,52.61843759172401,16.271601690832505
D000628,Neal Dunn,300.0,1.0,12.0,0.33333333333333337,4.0,29.88410532808442,31.23040338222601,19.621499987141668,24.21137995643993
D000629,Sharice Davids,230.0,0.0,40.0,0.0,17.391304347826086,28.613247652723473,81.60058933970689,17.376426176168696,99.41246575965107
D000631,Madeleine Dean,184.0,4.0,11.0,2.1739130434782608,5.978260869565218,33.84160303869421,29.495798096473848,34.811078288317745,41.13880853261368
D000634,Troy Downing,,15.27,21.86,3.72,6.91,50.0,50.0,50.0,50.0
D000635,Maxine Dexter,,15.27,21.86,3.72,6.91,50.0,50.0,50.0,50.0
E000071,Jake Ellzey,142.0,0.0,8.0,0.0,5.633802816901409,28.613247652723473,24.577639682883927,17.376426176168696,37.950611306984975
E000235,Mike Ezell,234.0,0.0,30.0,0.0,12.82051282051282,28.613247652723473,65.68826921046826,17.376426176168696,92.23120140964463
E000246,Chuck Edwards,,15.27,21.86,3.72,6.91,50.0,50.0,50.0,50.0
E000294,Tom Emmer,282.0,11.0,6.0,3.900709219858156,2.127659574468085,43.72622037741582,21.561260880381887,51.81988724247528,12.515410990969706
E000295,Joni Ernst,668.0,14.0,15.0,2.095808383233533,2.245508982035928,48.12695827714766,36.676009636889034,34.08481789403378,13.108607580210125
E000296,Dwight Evans,218.0,8.0,20.0,3.669724770642202,9.174311926605505,39.401834534579116,46.32267884440836,49.49352586219792,70.68844551557973
E000297,Adriano Espaillat,919.0,8.0,33.0,0.8705114254624592,3.5908596300326447,39.401834534579116,70.98181682257824,23.589556506452148,21.24728855307533
E000298,Ron Estes,323.0,1.0,30.0,0.30959752321981426,9.287925696594428,29.88410532808442,65.68826921046826,19.456044047167715,71.62091787448001
E000299,Veronica Escobar,347.0,19.0,39.0,5.475504322766571,11.239193083573488,55.48575779151855,80.2509858608777,67.12289389091184,85.0985962751789
E000300,Gabe Evans,,15.27,21.86,3.72,6.91,50.0,50.0,50.0,50.0
E000301,Sarah Elfreth,,15.27,21.86,3.72,6.91,50.0,50.0,50.0,50.0
F000110,Cleo Fields,,15.27,21.86,3.72,6.91,50.0,50.0,50.0,50.0
F000246,Pat Fallon,,15.27,21.86,3.72,6.91,50.0,50.0,50.0,50.0
F000446,Randy Feenstra,833.0,2.0,37.0,0.24009603841536614,4.441776710684274,31.1800069324024,77.37834188396742,18.976472593119713,27.64825359975208
F000450,Virginia Foxx,188.0,2.0,7.0,1.0638297872340425,3.723404255319149,31.1800069324024,23.041859944476556,25.118988519907848,22.18355947780195
F000454,Bill Foster,137.0,12.0,7.0,8.75912408759124,5.109489051094891,45.187246666463295,23.041859944476556,89.84033178729601,33.25745396401847
F000459,Charles Fleischmann,116.0,0.0,12.0,0.0,10.344827586206897,28.613247652723473,31.23040338222601,17.376426176168696,79.55070969803681
F000462,Lois Frankel,167.0,0.0,5.0,0.0,2.9940119760479043,28.613247652723473,20.137370370957736,17.376426176168696,17.326448637916325
F000463,Deb Fischer,350.0,0.0,19.0,0.0,5.428571428571429,28.613247652723473,44.356548298261735,17.376426176168696,36.08781067779392
F000466,Brian Fitzpatrick,638.0,1.0,120.0,0.1567398119122257,18.808777429467085,29.88410532808442,99.99994433386009,18.410983988884745,99.78836846832212
F000468,Lizzie Fletcher,521.0,11.0,36.0,2.111324376199616,6.90978886756238,43.72622037741582,75.85783944645921,34.22863591064914,49.997975248651564
F000469,Russ Fulcher,170.0,1.0,11.0,0.5882352941176471,6.470588235294119,29.88410532808442,29.495798096473848,21.451585965848135,45.793882233267716
F000470,Michelle Fischbach,303.0,4.0,11.0,1.3201320132013201,3.6303630363036308,33.84160303869421,29.495798096473848,27.224832266612054,21.523890820181812
F000471,Scott Fitzgerald,50.0,0.0,2.0,0.0,4.0,28.613247652723473,16.216277000614294,17.376426176168696,24.21137995643993
F000472,Scott Franklin,,15.27,21.86,3.72,6.91,50.0,50.0,50.0,50.0
F000474,Mike Flood,203.0,0.0,19.0,0.0,9.35960591133005,28.613247652723473,44.356548298261735,17.376426176168696,72.20182358455078
F000475,Brad Finstad,77.0,0.0,17.0,0.0,22.07792207792208,28.613247652723473,40.47035170337271,17.376426176168696,99.98668929807941
F000476,Maxwell Frost,163.0,7.0,5.0,4.294478527607362,3.067484662576687,37.98620191116468,20.137370370957736,55.767233023747906,17.78260648197334
F000477,Valerie Foushee,147.0,8.0,11.0,5.442176870748299,7.482993197278912,39.401834534579116,29.495798096473848,66.81800062335954,55.477655314507636
F000478,Russell Fry,231.0,7.0,8.0,3.0303030303030303,3.463203463203463,37.98620191116468,24.577639682883927,43.08675413229406,20.367760388654215
F000479,John Fetterman,49.0,0.0,7.0,0.0,14.285714285714285,28.613247652723473,23.041859944476556,17.376426176168696,96.18863294031352
F000480,Vince Fong,,15.27,21.86,3.72,6.91,50.0,50.0,50.0,50.0
F000481,Shomari Figures,,15.27,21.86,3.72,6.91,50.0,50.0,50.0,50.0
F000482,Julie Fedorchak,,15.27,21.86,3.72,6.91,50.0,50.0,50.0,50.0
F000483,Laura Friedman,,15.27,21.86,3.72,6.91,50.0,50.0,50.0,50.0
G000359,Lindsey Graham,168.0,2.0,11.0,1.1904761904761905,6.547619047619048,31.1800069324024,29.495798096473848,26.148672642312253,46.52917181020487
G000386,Chuck Grassley,,15.27,21.86,3.72,6.91,50.0,50.0,50.0,50.0
G000546,Sam Graves,151.0,2.0,10.0,1.3245033112582782,6.622516556291391,31.1800069324024,27.806964536365253,27.261494508945468,47.245238495110655
G000551,Raúl Grijalva,116.0,3.0,2.0,2.586206896551724,1.7241379310344827,32.499640115792296,16.216277000614294,38.731981767356785,10.627183327073036
G000553,Al Green,582.0,18.0,12.0,3.0927835051546393,2.0618556701030926,54.0209504010364,31.23040338222601,43.70755330412438,12.192465232611422
G000555,Kirsten Gillibrand,297.0,1.0,51.0,0.33670033670033667,17.17171717171717,29.88410532808442,92.59329721527163,19.645039363306587,99.31828944208864
G000558,Brett Guthrie,208.0,1.0,9.0,0.4807692307692308,4.326923076923077,29.88410532808442,26.16673879380551,20.66821430402854,26.732219825903204
G000559,John Garamendi,346.0,25.0,9.0,7.225433526011561,2.601156069364162,64.05155879944215,26.16673879380551,81.19784411892462,15.015244383697524
G000565,Paul Gosar,567.0,39.0,17.0,6.878306878306878,2.9982363315696645,80.99165336940356,40.47035170337271,78.74348125785654,17.352472074183645
G000568,H. Griffith,581.0,0.0,35.0,0.0,6.024096385542169,28.613247652723473,74.28346291565632,17.376426176168696,41.56800173208284
G000574,Ruben Gallego,187.0,14.0,13.0,7.4866310160427805,6.951871657754011,48.12695827714766,33.00763924499962,82.9240817625865,50.40154068698624
