,Name,Chamber,bioguide_id,State,District,Party,A: num_bills_with_cross_party_cosponsors,norm_A,B: num_cross_party_cosponsored_bills,norm_B,C: outcome_bipartisanship,norm_C,D: outcome_bipartisanship_pct,norm_D,E: attack_personal,norm_E,F: attack_personal_pct,norm_F,G: Vote for Cosponsored Bill,norm_G,H: Vote for Other Party,norm_H,party letter,M: 2025 Cook PVI Number,norm_M,N: nominate_dim1,norm_N,score_T,score_S,norm_S,Grade
333,Gary C. Peters,Senate,P000595,Michigan,,Democratic,15.0,98.52,51.0,99.7,63.0,73.40144709512995,19.148936170212767,98.89560069024881,35.0,50.52859082786585,10.638297872340424,22.30716344379937,2.0,49.67566025565114,2.0,98.31351234111276,D,0.0,7.6016503810867455,-0.247,26.90939460646218,665.630142314083,679.6458820198102,98.76649208853091,A
341,Elissa Slotkin,Senate,S001208,Michigan,,Democratic,5.45,50.03,14.0,35.02,37.0,42.87900493330123,12.758620689655173,82.1337840698672,15.0,65.65118397004207,5.172413793103448,54.87828322535091,2.0,49.67566025565114,2.0,98.31351234111276,D,0.0,7.6016503810867455,-0.326,21.44395779416806,504.1721366664355,513.4103999910946,79.84450772343214,B
344,Amy Klobuchar,Senate,K000367,Minnesota,,Democratic,22.0,99.99,61.0,99.98,91.0,93.20634322404818,14.174454828660435,88.9458232407746,36.0,49.751245708328526,5.607476635514018,52.08106510187965,1.0,20.578377338260168,1.0,77.44026148862528,D,2.53,15.624364587136913,-0.283,24.33536039360632,617.4389309978102,634.5988214194495,96.88616495104027,A
353,Tina Smith,Senate,S001203,Minnesota,,Democratic,2.0,21.64,22.0,61.55,39.0,45.32025015206532,9.19811320754717,56.27929628978681,50.0,39.0109552207373,11.79245283018868,17.140773025209054,1.0,20.578377338260168,1.0,77.44026148862528,D,2.53,15.624364587136913,-0.396,17.190433054177678,359.18875724052424,367.88815848182907,34.508508465591525,C
357,Cindy Hyde-Smith,Senate,H001079,Mississippi,,Republican,1.0,15.57,13.0,31.94,13.0,17.825654124122998,6.25,31.80233339669929,2.0,74.41761931730336,0.9615384615384616,78.92894355424002,3.0,78.95549716117105,0.0,26.880262246198537,R,10.78,64.32944662892308,0.45,82.46760551477705,297.3888600991373,328.78219450249344,23.256544115787992,C
361,Roger F. Wicker,Senate,W000437,Mississippi,,Republican,7.0,63.81,14.0,35.02,31.0,35.75187499783156,5.391304347826087,25.5555648696017,6.0,71.84800146510678,1.0434782608695654,78.54402607444835,3.0,78.95549716117105,0.0,26.880262246198537,R,10.78,64.32944662892308,0.376,77.90203629831692,401.3090358218404,442.7564195611638,59.3518887294736,B
377,Josh Hawley,Senate,H001089,Missouri,,Republican,5.0,45.95,8.0,18.58,4.0,11.497356706356532,2.051282051282051,8.498246918633951,7.0,71.18667420081238,3.589743589743589,64.75380883911764,3.0,78.95549716117105,0.0,26.880262246198537,R,8.97,52.59561992624832,0.801,95.66743833237345,321.26449432512084,353.5288751640581,30.13723597039152,C
380,Eric Schmitt,Senate,S001227,Missouri,,Republican,6.0,55.01,3.0,9.38,10.0,15.508831366318704,4.0,16.978072702104,6.0,71.84800146510678,2.4,71.60670834955864,3.0,78.95549716117105,0.0,26.880262246198537,R,8.97,52.59561992624832,0.97,98.16411368655562,340.1885062718817,374.77808325330193,36.68659139427047,C
381,Steve Daines,Senate,D000618,Montana,,Republican,6.0,55.01,19.0,51.57,19.0,23.074786893579198,5.555555555555555,26.699174199235298,1.0,75.04034628523107,0.2923976608187134,81.9177064337503,3.0,78.95549716117105,0.0,26.880262246198537,R,9.82,58.19996340211446,0.592,89.41471419485303,397.7749358799656,438.7088886932496,58.014500686864864,B
387,Tim Sheehy,Senate,S001232,Montana,,Republican,4.0,37.09,16.0,41.48,42.8,50.0,8.46,50.0,8.46,70.20818225322733,5.93,50.0,3.0,78.95549716117105,0.0,26.880262246198537,R,9.82,58.19996340211446,0.01,48.22750675428802,358.56242649696105,388.0770325193156,41.008405617785854,C
