,Name,Chamber,bioguide_id,Party,2025 Cook PVI Party,2025 Cook PVI Number,PVI Party Difference
475,Julie Johnson,House,J000310,Democratic,D,13,False
476,Marc A. Veasey,House,V000131,Democratic,D,19,False
477,Vicente Gonzalez,House,G000581,Democratic,N,0,True
478,Greg Casar,House,C001131,Democratic,D,19,False
479,Brian Babin,House,B001291,Republican,R,18,False
480,Lloyd Doggett,House,D000399,Democratic,D,26,False
481,Wesley Hunt,House,H001095,Republican,R,10,False
484,Blake D. Moore,House,M001213,Republican,R,10,False
485,Celeste Maloy,House,M001228,Republican,R,10,False
486,Mike Kennedy,House,K000403,Republican,R,10,False
487,Burgess Owens,House,O000086,Republican,R,14,False
490,Becca Balint,House,B001318,Democratic,D,17,False
493,Stacey E. Plaskett,House,P000610,Democratic,,,
494,Robert J. Wittman,House,W000804,Republican,R,3,False
495,Jennifer A. Kiggans,House,K000399,Republican,N,0,True
496,"Robert C. ""Bobby"" Scott",House,S000185,Democratic,D,18,False
497,Jennifer L. McClellan,House,M001227,Democratic,D,17,False
498,John McGuire,House,M001239,Republican,R,6,False
499,Ben Cline,House,C001118,Republican,R,12,False
500,Eugene Vindman,House,V000138,Democratic,D,2,False
501,Donald S. Beyer,House,B001292,Democratic,D,26,False
502,H. Morgan Griffith,House,G000568,Republican,R,22,False
503,Suhas Subramanyam,House,S001230,Democratic,D,6,False
504,Gerald E. Connolly,House,C001078,Democratic,D,18,False
507,Suzan K. DelBene,House,D000617,Democratic,D,15,False
508,Rick Larsen,House,L000560,Democratic,D,12,False
509,Marie Gluesenkamp Perez,House,G000600,Democratic,R,0,True
510,Dan Newhouse,House,N000189,Republican,R,10,False
511,Michael Baumgartner,House,B001322,Republican,R,5,False
512,Emily Randall,House,R000621,Democratic,D,10,False
513,Pramila Jayapal,House,J000298,Democratic,D,39,False
514,Kim Schrier,House,S001216,Democratic,D,3,False
515,Adam Smith,House,S000510,Democratic,D,22,False
516,Marilyn Strickland,House,S001159,Democratic,D,9,False
519,Carol D. Miller,House,M001205,Republican,R,22,False
520,Riley Moore,House,M001235,Republican,R,20,False
523,Bryan Steil,House,S001213,Republican,R,2,False
524,Mark Pocan,House,P000607,Democratic,D,21,False
525,Derrick Van Orden,House,V000135,Republican,R,3,False
526,Gwen Moore,House,M001160,Democratic,D,26,False
527,Scott Fitzgerald,House,F000471,Republican,R,11,False
528,Glenn Grothman,House,G000576,Republican,R,8,False
529,Thomas P. Tiffany,House,T000165,Republican,R,11,False
530,Tony Wied,House,W000829,Republican,R,8,False
533,Harriet M. Hageman,House,H001096,Republican,R,23,False
