name,bioguide_id,num_cross_party_cosponsored_bills
Tommy Tuberville,T000278,8
Bernie Moreno,M001242,7
Zoe Lofgren,L000397,7
Rosa L. DeLauro,D000216,7
John H. Rutherford,R000609,7
Bill Huizenga,H001058,7
Nellie Pou,P000621,7
John Curtis,C001114,7
Gregory F. Murphy,M001210,7
Dan Newhouse,N000189,7
Michael R. Turner,T000463,7
Frederica S. Wilson,W000808,7
Mark Takano,T000472,7
Mike Ezell,E000235,7
Ilhan Omar,O000173,7
"Earl L. ""Buddy"" Carter",C001103,7
John W. Mannion,M001231,7
Dwight Evans,E000296,7
Johnny Olszewski,O000176,7
Mark Alford,A000379,6
Tim Scott,S001184,6
"JesÃÂºs G. ""Chuy"" GarcÃÂ­a",G000586,6
Chuck Edwards,E000246,6
Richard McCormick,M001218,6
Pramila Jayapal,J000298,6
Mariannette Miller-Meeks,M001215,6
August Pfluger,P000048,6
Diana DeGette,D000197,6
Kweisi Mfume,M000687,6
Troy Balderson,B001306,6
Tim Burchett,B001309,6
Alexandria Ocasio-Cortez,O000172,6
Jasmine Crockett,C001130,6
"Charles J. ""Chuck"" Fleischmann",F000459,6
Carol D. Miller,M001205,6
Markwayne Mullin,M001190,6
Dusty Johnson,J000301,6
Ryan Mackenzie,M001230,6
Jim Banks,B001299,5
"Eric A. ""Rick"" Crawford",C001087,5
Mark DeSaulnier,D000623,5
Austin Scott,S001189,5
John R. Moolenaar,M001194,5
Bill Hagerty,H000601,5
Mike Lee,L000577,5
Glenn Ivey,I000058,5
Laura Friedman,F000483,5
Ryan K. Zinke,Z000018,5
Vern Buchanan,B001260,5
Darin LaHood,L000585,5
Sylvester Turner,T000489,5
Nicholas A. Langworthy,L000600,5
Stephanie I. Bice,B000740,5
John Thune,T000250,5
Celeste Maloy,M001228,5
Robert P. Bresnahan,B001327,5
Michael A. Rulli,R000619,5
Bryan Steil,S001213,5
James R. Baird,B001307,5
Pete Stauber,S001212,5
Lizzie Fletcher,F000468,5
