primary_name,primary_bioguide_id,num_bills_with_cross_party_cosponsors,rank
Lois Frankel,F000462,1,337
Cindy Hyde-Smith,H001079,1,338
Austin Scott,S001189,1,339
Sarah Elfreth,E000301,1,340
Kevin Kiley,K000401,1,341
Patrick Ryan,R000579,1,342
"Henry C. ""Hank"" Johnson",J000288,1,343
Jeff Hurd,H001100,1,344
Glenn Grothman,G000576,1,345
Jamie Raskin,R000606,1,346
Tony Gonzales,G000594,1,347
Tony Wied,W000829,1,348
James R. Baird,B001307,1,349
Daniel S. Goldman,G000599,1,350
Bill Foster,F000454,1,351
Jahana Hayes,H001081,1,352
Thomas P. Tiffany,T000165,1,353
Raphael Warnock,W000790,1,354
Keith Self,S001224,1,355
Tom McClintock,M001177,1,356
Jason Crow,C001121,1,357
Valerie P. Foushee,F000477,1,358
Russ Fulcher,F000469,1,359
Diana DeGette,D000197,1,360
Anna Paulina Luna,L000596,1,361
Mike Kennedy,K000403,1,362
Ben Cline,C001118,1,363
Paul A. Gosar,G000565,1,364
Eric Swalwell,S001193,1,365
Mike Flood,F000474,1,366
Kweisi Mfume,M000687,1,367
Ron Wyden,W000779,1,368
Emanuel Cleaver,C001061,1,369
Jim Jordan,J000289,1,370
David Schweikert,S001183,1,371
Ted Lieu,L000582,1,372
Bonnie Watson Coleman,W000822,1,373
Pat Harrigan,H001101,1,374
Joyce Beatty,B001281,1,375
Kelly Morrison,M001234,1,376
Ro Khanna,K000389,1,377
Rick W. Allen,A000372,1,378
Martin Heinrich,H001046,1,379
Kristen McDonald Rivet,M001237,1,380
David H. McCormick,M001243,1,381
Ashley Moody,M001244,1,382
Joe Courtney,C001069,1,383
Jonathan L. Jackson,J000309,1,384
Mike Rogers,R000575,1,385
Elise M. Stefanik,S001196,1,386
Jimmy Gomez,G000585,1,387
Eric Sorensen,S001225,1,388
Michael Baumgartner,B001322,1,389
Val T. Hoyle,H001094,1,390
Juan Vargas,V000130,1,391
George Latimer,L000606,1,392
Ralph Norman,N000190,1,393
Lloyd Doggett,D000399,1,394
Raja Krishnamoorthi,K000391,1,395
Robert B. Aderholt,A000055,1,396
Troy Downing,D000634,1,397
Jake Auchincloss,A000148,1,398
Nathaniel Moran,M001224,1,399
Julia Letlow,L000595,1,400
Rosa L. DeLauro,D000216,1,401
Barry Loudermilk,L000583,1,402
AndrÃ© Carson,C001072,1,403
Eric Burlison,B001316,0,404
Pablo JosÃÂ© HernÃÂ¡ndez,H001103,0,405
Julie Fedorchak,F000482,0,406
Adam B. Schiff,S001150,0,407
Yassamin Ansari,A000381,0,408
Andrew S. Clyde,C001116,0,409
Janelle S. Bynum,B001326,0,410
Julie Johnson,J000310,0,411
Becca Balint,B001318,0,412
Summer L. Lee,L000602,0,413
James P. McGovern,M000312,0,414
Mary E. Miller,M001211,0,415
Andrea Salinas,S001226,0,416
Nellie Pou,P000621,0,417
Thomas Massie,M001184,0,418
Maxwell Frost,F000476,0,419
Burgess Owens,O000086,0,420
Pete Aguilar,A000371,0,421
Harold Rogers,R000395,0,422
Ryan Mackenzie,M001230,0,423
Steve Scalise,S001176,0,424
Seth Moulton,M001196,0,425
Jeff Crank,C001137,0,426
James C. Justice,J000312,0,427
RaÃÂºl M. Grijalva,G000551,0,428
Wesley Hunt,H001095,0,429
Michael A. Rulli,R000619,0,430
Danny K. Davis,D000096,0,431
John R. Curtis,C001114,0,432
Marjorie Taylor Greene,G000596,0,433
William R. Timmons,T000480,0,434
Michael K. Simpson,S001148,0,435
Josh Brecheen,B001317,0,436
Jerrold Nadler,N000002,0,437
Maxine Waters,W000187,0,438
Marlin A. Stutzman,S001188,0,439
Betty McCollum,M001143,0,440
Jon Husted,H001104,0,441
Pat Fallon,F000246,0,442
Derek Tran,T000491,0,443
Craig A. Goldman,G000601,0,444
Pramila Jayapal,J000298,0,445
Joaquin Castro,C001091,0,446
Mark Harris,H001102,0,447
Tom Emmer,E000294,0,448
"Charles J. ""Chuck"" Fleischmann",F000459,0,449
Melanie A. Stansbury,S001218,0,450
Deborah K. Ross,R000305,0,451
Sydney Kamlager-Dove,K000400,0,452
Adam Smith,S000510,0,453
Robert Menendez,M001226,0,454
Scott DesJarlais,D000616,0,455
Aaron Bean,B001314,0,456
Lauren Boebert,B000825,0,457
Andy Biggs,B001302,0,458
Emily Randall,R000621,0,459
Riley M. Moore,M001235,0,460
John W. Mannion,M001231,0,461
Al Green,G000553,0,462
Sheila Cherfilus-McCormick,C001127,0,463
Lizzie Fletcher,F000468,0,464
Christopher S. Murphy,M001169,0,465
Dwight Evans,E000296,0,466
Maxine Dexter,D000635,0,467
Addison P. McDowell,M001240,0,468
George Whitesides,W000830,0,469
Andy Harris,H001052,0,470
Tom Cole,C001053,0,471
Delia C. Ramirez,R000617,0,472
David J. Taylor,T000490,0,473
Lance Gooden,G000589,0,474
Sara Jacobs,J000305,0,475
Shontel M. Brown,B001313,0,476
Alma S. Adams,A000370,0,477
Lucy McBath,M001208,0,478
Ilhan Omar,O000173,0,479
Kathy Castor,C001066,0,480
Richard McCormick,M001218,0,481
Jefferson Shreve,S001229,0,482
John J. McGuire,M001239,0,483
Bernie Moreno,M001242,0,484
Mark DeSaulnier,D000623,0,485
Terri A. Sewell,S001185,0,486
Brett Guthrie,G000558,0,487
Sam T. Liccardo,L000607,0,488
John B. Larson,L000557,0,489
Angela Alsobrooks,A000382,0,490
Shomari Figures,F000481,0,491
Cory Mills,M001216,0,492
Dave Min,M001241,0,493
Nanette Diaz BarragÃÂ¡n,B001300,0,494
Robert F. Onder,O000177,0,495
Rashida Tlaib,T000481,0,496
